season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2017,19-05-18,1869,Spanish Primera Division,Villarreal,Real Madrid,71.8,90.97,0.2128,0.6041,0.1831,1.56,2.64,0,0,2,2,1.1,1.27,1.03,1.14,2.1,2.1
2017,26-05-18,1818,UEFA Champions League,Real Madrid,Liverpool,90.62,88.14,0.5258,0.4742,0,2.03,1.92,100,100,3,1,2.14,1.83,1.1,1.16,2.82,1.05
2018,19-08-18,1869,Spanish Primera Division,Real Madrid,Getafe,91.33,75.66,0.8071,0.0593,0.1336,2.61,0.57,61.3,31.3,2,0,1.29,0.28,1.3,0.3,2.1,0
2018,26-08-18,1869,Spanish Primera Division,Girona FC,Real Madrid,73.03,91.44,0.1806,0.6233,0.1961,1.15,2.27,26.2,64.3,1,4,0.55,4.91,1.02,2.34,1.05,3.95
2018,01-09-18,1869,Spanish Primera Division,Real Madrid,Leganes,92.18,71.52,0.8572,0.04,0.1028,2.94,0.52,73.2,28.7,4,1,2.6,1.05,3.4,0.65,4.2,1.05
2018,15-09-18,1869,Spanish Primera Division,Athletic Bilbao,Real Madrid,74.73,92.2,0.1886,0.6177,0.1937,1.23,2.34,34.6,62.7,1,1,1.23,2.11,0.57,1.79,1.05,1.05
2018,19-09-18,1818,UEFA Champions League,Real Madrid,AS Roma,92.24,78.16,0.7052,0.1233,0.1714,2.41,0.91,46.1,63.7,3,0,3.58,0.57,3.8,1.06,2.63,0
2018,22-09-18,1869,Spanish Primera Division,Real Madrid,Espanyol,92.64,75.31,0.8302,0.0499,0.1199,2.74,0.54,65.6,32.8,1,0,1.16,0.47,2.58,0.86,1.05,0
2018,26-09-18,1869,Spanish Primera Division,Sevilla FC,Real Madrid,79.98,92.54,0.2508,0.5467,0.2025,1.52,2.29,55.4,74,3,0,2.57,2.06,1.15,2.07,3.15,0
2018,29-09-18,1869,Spanish Primera Division,Real Madrid,Atletico Madrid,91.85,86.99,0.6198,0.1723,0.2079,2.08,1,78.6,58,0,0,1.45,0.71,2.14,0.57,0,0
2018,02-10-18,1818,UEFA Champions League,CSKA Moscow,Real Madrid,74.21,91.9,0.2431,0.506,0.2509,1.02,1.59,64.6,30.2,1,0,0.5,2,0.85,2.29,1.05,0
2018,06-10-18,1869,Spanish Primera Division,Alavés,Real Madrid,70.76,91.89,0.1453,0.6673,0.1875,0.98,2.3,22.1,81.5,1,0,0.91,0.96,0.55,2.18,1.05,0
2018,20-10-18,1869,Spanish Primera Division,Real Madrid,Levante,91.75,67.02,0.864,0.0412,0.0948,3.17,0.61,66.6,32.7,1,2,3.35,1.56,5.42,0.78,1.05,2.1
2018,23-10-18,1818,UEFA Champions League,Real Madrid,Viktoria Plzen,91.28,61.05,0.8568,0.0362,0.107,2.74,0.42,52.7,32.2,2,1,2.95,1.52,4.14,0.57,2.1,1.05
2018,28-10-18,1869,Spanish Primera Division,Barcelona,Real Madrid,91.87,91.16,0.5017,0.2933,0.205,2.25,1.71,100,100,5,1,3.24,2.2,2,1.99,4.39,1.05
2018,03-11-18,1869,Spanish Primera Division,Real Madrid,Real Valladolid,90.73,69.03,0.8475,0.041,0.1116,2.77,0.47,50.3,23.6,2,0,1.84,0.97,2.31,0.83,1.64,0
2018,07-11-18,1818,UEFA Champions League,Viktoria Plzen,Real Madrid,61.38,90.51,0.148,0.6659,0.1861,0.98,2.28,15.8,28.8,0,5,0.45,1.69,1.16,2.55,0,5.25
2018,11-11-18,1869,Spanish Primera Division,Celta Vigo,Real Madrid,71.86,91.06,0.1861,0.6298,0.1841,1.32,2.5,22.2,60.4,2,4,1.05,2.37,0.96,1.61,2.1,3.25
2018,24-11-18,1869,Spanish Primera Division,Eibar,Real Madrid,76.54,91.07,0.2103,0.5705,0.2192,1.13,1.99,22.4,63.8,3,0,3.58,0.94,1.09,1.26,3.15,0
2018,27-11-18,1818,UEFA Champions League,AS Roma,Real Madrid,79.28,89.47,0.3245,0.4514,0.2241,1.55,1.85,81.9,81.9,0,2,2.27,1.87,1.56,2.35,0,2.1
2018,01-12-18,1869,Spanish Primera Division,Real Madrid,Valencia,89.69,81.69,0.6454,0.1536,0.201,2.13,0.93,54,50.2,2,0,0.92,1.1,2.06,0.83,1.77,0
2018,09-12-18,1869,Spanish Primera Division,SD Huesca,Real Madrid,67.46,89.69,0.1793,0.6269,0.1938,1.16,2.31,41,50.6,0,1,1.08,0.5,1.67,0.45,0,1.05
2018,12-12-18,1818,UEFA Champions League,Real Madrid,CSKA Moscow,89.35,71.05,0.7187,0.0851,0.1962,1.92,0.49,3.8,34.5,0,3,1.28,1.2,1.95,1.22,0,3.08
2018,15-12-18,1869,Spanish Primera Division,Real Madrid,Rayo Vallecano,87.99,66.07,0.8169,0.0601,0.123,2.82,0.66,55.7,43.1,1,0,1.08,0.79,1.44,0.85,1.05,0
2018,03-01-19,1869,Spanish Primera Division,Villarreal,Real Madrid,71.1,87.64,0.255,0.5301,0.215,1.4,2.08,40.6,39.9,2,2,1.05,1.33,1.89,1.03,2.1,2.1
2018,06-01-19,1869,Spanish Primera Division,Real Madrid,Real Sociedad,87.14,77.43,0.6685,0.1373,0.1942,2.17,0.87,51.1,20.1,0,2,2.67,2.33,3.29,0.92,0,1.64
2018,13-01-19,1869,Spanish Primera Division,Real Betis,Real Madrid,75.58,86.44,0.2816,0.4777,0.2407,1.27,1.72,35.4,63.2,1,2,0.72,0.71,1.22,0.79,1.05,2.1
2018,19-01-19,1869,Spanish Primera Division,Real Madrid,Sevilla FC,86.52,82.47,0.542,0.2428,0.2152,2.07,1.33,54.8,68.7,2,0,1.52,0.46,2.68,0.57,1.58,0
2018,27-01-19,1869,Spanish Primera Division,Espanyol,Real Madrid,71.99,87.16,0.2508,0.5211,0.2281,1.25,1.89,19.6,39.8,2,4,1.24,2.42,1.03,3.07,1.89,4.2
2018,03-02-19,1869,Spanish Primera Division,Real Madrid,Alavés,87.68,71.57,0.7635,0.0788,0.1576,2.39,0.63,35.4,29.3,3,0,2.62,0.85,3.53,0.66,2.38,0
2018,09-02-19,1869,Spanish Primera Division,Atletico Madrid,Real Madrid,86.95,88.16,0.4127,0.3293,0.2581,1.47,1.29,31.7,43.4,1,3,0.97,1.77,1.02,1.33,1.05,3.05
2018,13-02-19,1818,UEFA Champions League,Ajax,Real Madrid,82.7,88.97,0.3878,0.4057,0.2065,1.99,2.04,60.4,100,1,2,1.99,1.27,2.16,1.06,1.05,2.1
2018,17-02-19,1869,Spanish Primera Division,Real Madrid,Girona FC,88.87,67.79,0.8085,0.0615,0.13,2.7,0.62,46.5,41,1,2,1.94,3.25,1.95,1.16,1.05,2.1
2018,24-02-19,1869,Spanish Primera Division,Levante,Real Madrid,64.5,87.12,0.2073,0.6008,0.1919,1.38,2.41,21.2,19,1,2,1.32,2.64,0.8,1.61,1.05,2.1
2018,02-03-19,1869,Spanish Primera Division,Real Madrid,Barcelona,87.3,91.8,0.3788,0.4064,0.2148,1.89,1.96,35.6,47.7,0,1,0.99,1.73,1.94,2,0,1.05
